iter	Passed	Remaining
0	155	155794
1	157	78725
2	160	53371
3	163	40691
4	165	32836
5	168	27974
6	173	24579
7	177	21977
8	180	19895
9	185	18359
10	187	16877
11	190	15691
12	192	14633
13	194	13720
14	197	12961
15	200	12303
16	202	11683
17	205	11195
18	207	10711
19	208	10232
20	210	9808
21	213	9481
22	215	9157
23	218	8901
24	221	8627
25	222	8336
26	224	8080
27	225	7831
28	227	7614
29	228	7401
30	230	7196
31	232	7023
32	233	6842
33	234	6669
34	236	6510
35	236	6345
36	237	6191
37	238	6044
38	239	5904
39	242	5813
40	244	5711
41	245	5604
42	247	5501
43	248	5406
44	249	5304
45	250	5204
46	251	5109
47	252	5016
48	253	4927
49	255	4849
50	256	4772
51	257	4699
52	258	4626
53	260	4563
54	261	4496
55	262	4430
56	264	4369
57	265	4308
58	266	4250
59	267	4193
60	268	4137
61	270	4087
62	271	4042
63	273	3996
64	274	3946
65	275	3896
66	276	3848
67	277	3808
68	279	3765
69	280	3721
70	281	3679
71	282	3637
72	283	3595
73	284	3558
74	286	3529
75	287	3495
76	288	3460
77	289	3427
78	290	3390
79	292	3363
80	293	3331
81	294	3300
82	295	3263
83	296	3231
84	297	3202
85	298	3172
86	300	3149
87	301	3124
88	302	3096
89	303	3068
90	304	3040
91	305	3013
92	306	2989
93	307	2965
94	308	2940
95	309	2914
96	310	2889
97	311	2866
98	312	2842
99	313	2822
100	314	2801
101	316	2786
102	317	2765
103	318	2744
104	319	2725
105	320	2706
106	322	2689
107	323	2670
108	324	2652
109	325	2633
110	326	2615
111	327	2596
112	328	2579
113	330	2565
114	331	2550
115	332	2533
116	333	2515
117	334	2498
118	335	2481
119	336	2466
120	337	2452
121	338	2438
122	339	2423
123	340	2408
124	342	2394
125	342	2378
126	343	2363
127	345	2351
128	346	2341
129	347	2328
130	349	2315
131	350	2301
132	351	2289
133	352	2278
134	354	2268
135	354	2254
136	355	2241
137	356	2228
138	357	2217
139	359	2206
140	360	2197
141	361	2185
142	362	2174
143	363	2162
144	364	2150
145	365	2140
146	367	2130
147	368	2121
148	370	2113
149	371	2103
150	372	2092
151	373	2083
152	375	2076
153	376	2069
154	378	2061
155	379	2051
156	380	2043
157	381	2034
158	383	2027
159	384	2018
160	385	2007
161	386	1997
162	387	1987
163	388	1979
164	389	1972
165	391	1964
166	392	1956
167	393	1947
168	394	1938
169	395	1933
170	397	1927
171	398	1919
172	399	1910
173	400	1901
174	401	1892
175	402	1884
176	403	1878
177	405	1872
178	406	1866
179	407	1858
180	408	1850
181	410	1843
182	411	1835
183	412	1829
